Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating,Big,Expensive
MOTOROLA,Ultra HD LED,65,56999,115399,Android,4.3,1,1
LG ,HD LED,32,24057,29990,WebOS,4.3,0,0
SAMSUNG,QLED Ultra HD,50,73990,119900,Tizen,4.3,1,1
Nokia ,Full HD LED,43,26999,39999,Android,4.2,0,0
Micromax,HD LED,32,13299,19900,Android,4.4,0,0
KODAK ,Ultra HD LED,50,32999,42999,Android,4.4,1,0
Micromax,HD LED,39,18999,24990,Android,3.5,0,0
KODAK ,Ultra HD LED,50,30999,33999,Android,4.3,1,0
Nokia ,Ultra HD LED,55,44999,59999,Android,4.1,1,0
iFFALCON by TCL,Ultra HD LED,65,53999,106990,Android,4.3,1,1
PHILIPS,Ultra HD LED,58,41999,119990,Android,4.2,1,1
Sansui ,Ultra HD LED,50,36990,45190,Android,4.5,1,0
SAMSUNG,QLED Ultra HD,43,59990,94900,Tizen,4.7,0,0
LG ,HD LED,32,19890,27990,Linux,4.3,0,0
OnePlus,Ultra HD LED,55,52999,59999,Android,4.3,1,0
MOTOROLA,Ultra HD LED,43,35999,49999,Android,4.4,0,0
SONY ,Full HD LED,43,46799,52900,Android,4.7,0,0
TCL ,Full HD LED,50,34999,89990,Android,4.3,1,0
SAMSUNG,Ultra HD LED,43,41900,49990,Tizen,,0,0
Panasonic,Ultra HD LED,55,46999,109900,Linux,4.2,1,1
LG ,Ultra HD LED,43,41349,57990,WebOS,,0,0
SONY ,Ultra HD LED,43,67990,74900,Linux,4.7,0,0
SAMSUNG,HD LED,32,21600,22900,Tizen,4.5,0,0
SAMSUNG,QLED Ultra HD,65,121990,222900,Tizen,4.3,1,0
MOTOROLA,Ultra HD LED,65,66999,79999,Android,4.4,1,0
LG ,Ultra HD LED,65,83599,119990,WebOS,4.4,1,1
SAMSUNG,QLED Ultra HD,55,128999,169900,Tizen,4.6,1,1
SONY ,Ultra HD LED,49,75099,89900,Android,4.4,0,0
SONY ,Ultra HD LED,55,73999,99990,Linux,4.5,1,0
Croma ,HD LED,32,10990,20000,Android,4.8,0,0
SAMSUNG,Ultra HD LED,50,57989,73900,Tizen,4.7,1,0
LG ,Ultra HD LED,65,129999,229900,WebOS,5.0,1,0
SAMSUNG,QLED Ultra HD,55,84990,134900,Tizen,4.7,1,1
SAMSUNG,Ultra HD LED,43,45400,56900,Linux,4.3,0,0
Croma ,HD LED,24,7990,15000,Android,,0,0
LG ,Ultra HD LED,55,137490,299990,WebOS,,1,0
SAMSUNG,HD LED,32,29900,29900,Tizen,3.8,0,0
